Ordinal, Name of nakṣatra,  Principle star (Yogatārā),  Latitude,  Longitude (sāyana 1956), Deity, Grammatical number
3, Kr̥ttikā, η Tauri, 04° 03', 59° 23', agni, P
4, Rohiṇi, α Tauri, -05° 28', 69° 11', prajāpati, S
5, Mr̥gaśiras, ι Orionis, -16° 37', 83° 06', sōma, S
, iṇvakā, , , , sōma, P
6, ārdrā, α Orionis, -16° 02', 88° 09', rudra, S
, bāhū, , , , rudra, D
7, Punarvasū, β Geminorum, 06° 41', 112° 37', aditī, D
8, Tiṣya, δ Cancri, 00° 05', 128° 07', br̥haspati, S
9, Aśreṣā, ε Hydrae, -11° 06' 25", 131° 39', sarpa, P
10, Maghā, α Leonis, 00° 28, 149° 13', pitr̥, P
11, Pūrva Phālguni, δ Leonis, 14° 20', 160° 42', aryamā, D
12, Uttara Phālguni, β Leonis, 12° 16', 171° 01', bhaga, D
13, Hasta, δ Corvi, -12° 12', 192° 51', savitā, S
14, Citrā, α Virginis, -02° 03', 203° 14', indra; tvaṣṭā, S
15, Svāti/ niṣṭyā, α Bootis, 30° 46', 203° 38', vāyu, S
16, Viśakhā, α Libra, 00° 20', 224° 28', , S
17, Anūrādhā, δ Scorpii, -01° 59', 241° 58', , S
18, Jyeṣṭhā, α Scorpii, -04° 34', 249° 09', , S
19, Mūla, λ Scorpii, -13° 47', 263° 59', , S
20, Pūrvāṣāḍhā, δ Sagittarii, -06° 28', 273° 58', , S
21, Uttarāsāḍhā, σ Sagittarii, -03° 27', 281° 47', , S
x, abhijit, α Lyrae, 61° 44', 284° 42', , S
22, Śravaṇa, α Aquilae, 29° 18', 301° 10', , S
23, Dhaniṣṭhā, β Delphini, 31° 65', 315° 44', , S
24, śatabhigaj, λ Aquarii, -00° 23', 340° 58', , S
25, Pūrva Bhādrapada, α Pegagi, 19° 24', 352° 53', , S
26, Uttara Bhādrapada, γ Pegasi, 12° 86', 08° 39', , S
27, Revatī, ζ Piscium, -00° 13', 19° 16', , S
1, Asvinī, β Arietis, 08° 29', 33° 22', , S
2, Bharaṇī, 41 Arietis, 10° 27', 47° 36', , S
